"bathybaseid","depth_max","lon","lat","id"
10,7.6,-89.2071129439495,45.3739547819589,"nhd_14726284"
11,67.1,-88.9976843260787,43.8096244723754,"nhd_120052176"
12,3.4,-89.6810044453491,45.2127638335192,"nhd_14726662"
13,14.9,-89.3024337739082,43.8132758947011,"nhd_6866469"
15,6.1,-89.3414318573324,45.7535073934996,"nhd_13394595"
16,7.9,-89.3025656507376,45.8140105835361,"nhd_13394253"
17,3,-91.0578735268541,43.9075986904298,"nhd_2454776"
19,1.5,-91.3514711412091,44.0881816611892,"nhd_13138501"
20,2.7,-90.3780620295579,44.4284158184979,"nhd_13134709"
21,2.7,-89.6070523300488,43.658279316869,"nhd_6866613"
23,10.7,-89.3377468603848,44.4703959521635,"nhd_9035735"
24,8.8,-89.3451375419584,44.4203670289583,"nhd_9035845"
25,21.3,-89.1214096719282,44.2163008205668,"nhd_9036137"
26,7.6,-89.3901802578111,44.4735925385232,"nhd_9035729"
27,6.1,-91.4230506015205,44.8154362127199,"nhd_13097728"
28,9.1,-90.5897874519728,45.2229070692242,"nhd_13102611"
29,7.6,-90.5609820008001,45.290429306697,"nhd_14729180"
3,1.5,-89.2325545711703,44.0659099579152,"nhd_6864373"
30,9.1,-90.1934367531829,45.3622604509031,"nhd_12980565"
31,6.1,-90.5057979895458,45.740384658781,"nhd_12991541"
32,4.3,-89.9719422017279,45.8296761481883,"nhd_12988983"
33,13.7,-90.6092782930955,45.9396087263623,"nhd_13349370"
34,4.6,-90.1384622440512,46.039669728674,"nhd_13345714"
35,3.7,-90.0237509932903,46.0285550224017,"nhd_13345726"
36,18.6,-89.8072379239961,46.0334909200998,"nhd_13344020"
37,6.1,-91.3141020466918,45.3980923099297,"nhd_13123946"
38,3,-88.4502214786937,44.6741787732897,"nhd_9029911"
39,3,-90.4606627391511,46.1793136596503,"nhd_13117608"
4,25.9,-89.6465941678627,43.7430442397502,"nhd_6866553"
41,7.3,-92.3381457376165,45.9096222911535,"nhd_2266211"
43,11.6,-88.1629671260481,43.4464906328594,"nhd_12162818"
45,5.2,-90.4395107245062,46.3896750336055,"nhd_1813543"
46,3,-90.6457674404671,46.2761059085409,"nhd_1813733"
47,6.1,-90.5937898154215,46.2842366800295,"nhd_1813701"
48,12.2,-90.1404165581631,46.2602869168626,"nhd_1813727"
49,17.4,-89.8337577028181,46.2635442841401,"nhd_6791805"
5,7.3,-89.5524038466018,43.9849585707823,"nhd_6866301"
50,7,-88.1817166482608,43.6023492050955,"nhd_12161226"
51,4.6,-88.980616885584,45.6777456938802,"nhd_9022639"
53,9.1,-88.2098093769034,43.6531389749104,"nhd_12161140"
54,18.3,-88.0178007403441,43.8065025912014,"nhd_12176206"
55,10.7,-88.2960056526946,45.1706442276442,"nhd_6808544"
56,7.6,-88.1161119348136,45.0482079815853,"nhd_6819970"
57,18.3,-88.050746253039,45.1317113915669,"nhd_6819874"
59,15.2,-87.9057301098373,45.2551063926499,"nhd_6818344"
6,3.7,-89.547898797528,43.95245945032,"nhd_6866345"
60,10.1,-87.8165309903086,45.3045124165287,"nhd_6818330"
61,4.6,-88.9576182744839,45.9495101827317,"nhd_6842183"
62,36.3,-88.0269569009903,43.8256070126362,"nhd_12176188"
63,14.3,-88.2081376985759,43.8643061815403,"nhd_12176166"
64,6.1,-88.0727545237809,45.6206780138738,"nhd_6842791"
65,27.4,-87.785435994509,44.0456121191748,"nhd_12173068"
66,12.2,-88.0369410700557,44.1035010645019,"nhd_12174574"
67,4.6,-88.9340727788012,45.9470495733712,"nhd_6842187"
68,12.2,-88.9997564667207,45.9844704771415,"nhd_14445790"
69,6.1,-88.4294856014131,42.8010240670448,"nhd_14767842"
7,9.1,-89.2916680147336,43.9292137568139,"nhd_6866369"
71,3,-88.1260850253021,42.7031275023805,"nhd_14767924"
72,12.2,-88.4499308122403,42.8335535561543,"nhd_14767786"
73,13.7,-88.3076193253524,43.0727034250741,"nhd_14767156"
74,25.9,-88.384530136991,43.1197573701311,"nhd_13290840"
75,12.2,-88.4931094446822,43.0766870836985,"nhd_13290942"
76,15.2,-88.6143613080177,42.6043254532304,"nhd_13294928"
77,9.1,-89.2517060392405,42.9662818148164,"nhd_13296360"
78,10.7,-89.326111678473,43.0119785745946,"nhd_120052351"
79,21.3,-89.3625113424688,43.0686110144243,"nhd_120052351"
8,8.5,-90.1105618082157,43.0101777919513,"nhd_13634461"
80,13.4,-88.9892281468693,43.0002225741435,"nhd_120052446"
81,7.3,-88.9840643249155,43.0253244839174,"nhd_13291034"
83,5.8,-87.8524045775788,44.4260221659454,"nhd_12172926"
